Customer Id,Cost
fffe3400310033003300,3218044.885979985
fffe3600350035003400,2957266.739619986
fffe3700360030003500,3062178.258899986
fffe350038003600,3105527.3363399846
fffe3500390032003500,3183420.1452599918
fffe3900360034003300,3140969.4634799846
fffe3200380034003700,3057797.9703999837
fffe3900370035003200,3283636.675159988
fffe3100380039003200,3349368.045319988
fffe3300330036003800,3106876.506279987
fffe3600370030003400,3131038.6471199873
fffe3500380034003200,2996040.813859988
fffe370035003600,2986694.817759988
fffe3100340039003800,3451154.779199985
fffe340030003700,3122291.6689599897
fffe330038003700,3187602.476579989
fffe3500300032003000,3203468.2698199903
fffe390038003700,3131038.6471199873
fffe3600390033003600,2973745.768179987
fffe3300380036003100,3148570.133159984
fffe3200330032003100,3048673.77251999
fffe3900300037003900,3152851.4987799875
fffe3100350030003700,3186730.144539984
fffe3700360035003100,2975489.448079988
fffe350034003100,3406954.996979988
fffe3400380039003700,2972775.0355799873
fffe3900320031003800,3212868.0259599863
fffe3300360034003600,3360085.406939988
fffe3500370037003500,2972738.518579987
fffe34003500,3070248.8245199863
fffe3800370030003500,3236049.229339986
fffe3300340035003800,3218044.885979985
fffe3700380033003100,2996040.813859988
fffe3200370034003600,2986466.725359988
fffe3200370033003500,3435040.6779799825
fffe3100380039003700,3062667.3792399857
fffe3100310035003300,3378450.351619988
fffe3100320031003700,3201004.544139985
fffe3700390034003600,3026331.562799989
fffe3200380033003000,2996056.5262799882
fffe3500320034003800,3051577.4826399866
fffe3900390034003300,3254862.5117799854
fffe3900350033003200,3064466.6924399864
fffe3300350033003900,2970958.4293999863
fffe3600330030003800,3083836.643679983
fffe3600310032003000,2972738.518579987
fffe3700340036003800,3101724.5907599893
fffe3800320037003500,3013279.503459986
fffe3200330037003000,2992969.5062599867
fffe3100320035003500,3117773.280879989
fffe3300370033003000,3518548.2995799906
fffe3900360030003300,3232168.692599985
fffe3400340034003000,3177630.461759984
fffe3800300035003300,3491508.7105999882
fffe3700340035003900,3056233.061179986
fffe3600340034003900,3181297.2660999894
fffe310030003500,2996056.5262799882
fffe3700310035003200,3126930.399539988
fffe3100330033003900,3223384.5894999905
fffe3800330030003700,3105527.3363399846
fffe3900370033003100,3166374.6296199868
fffe3500330036003400,3131038.6471199873
fffe3700350036003200,3294333.5382599835
fffe3500390037003700,3210810.0304799853
fffe3200340034003300,3483317.347279987
fffe3300350032003200,2977600.606659988
fffe360034003500,2986466.725359988
fffe3900390030003600,3135390.8739599893
fffe3400350034003000,2980561.4892199878
fffe3600360036003300,4031584.777219995
fffe3800350030003100,3360085.406939988
fffe3400300030003000,3139400.6685199877
fffe3200390037003600,3060808.984619989
fffe3600350039003500,2996056.5262799882
fffe3300350038003600,2973745.768179987
fffe3600350037003900,3063544.870219986
fffe3200360035003900,3243942.988339992
fffe3300360039003100,3052463.0924799913
fffe3400370030003300,2982005.173239988
fffe3400300031003600,3149764.238379987
fffe3900340034003000,2975489.448079988
fffe3700350038003900,3673037.9063799917
fffe3300330032003800,3073350.856279991
fffe370039003600,3243942.988339992
fffe3400340036003300,2991913.0779799856
fffe3900360034003400,3103456.8112799875
fffe3900380037003700,3096905.256179989
fffe3600360039003700,2972738.518579987
fffe3600340031003600,3051750.2892399863
fffe3500370035003900,3105527.3363399846
fffe3700330037003400,3170315.6041599866
fffe320037003400,2996056.5262799882
fffe3500310034003800,3473812.4793999884
fffe3700390039003200,3207614.004179992
fffe3900390038003600,3026794.4715399905
fffe3700380033003500,3210810.0304799853
fffe3700320036003800,3099928.214199989
fffe3300360034003100,3182300.334419987
fffe3700330038003400,5281969.287859994
fffe3800380033003400,3223444.77677999
fffe3200390030003300,3015576.3345799875
fffe3900380035003200,3029744.1741799917
fffe3600340031003100,3057050.3875999856
fffe3200300036003200,3027801.7211399903
fffe370039003400,3144507.903579988
fffe3500390030003300,3148570.133159984
fffe3700350030003700,3011248.9607799873
fffe3100370035003500,3283652.387579988
fffe3900390038003100,3015264.5519399876
fffe3300320031003900,3135561.376919988
fffe3500300030003500,3049297.2803199855
fffe3800380031003200,3052478.8048999915
fffe3400390034003200,3173749.43517999
fffe3200370037003200,3122291.6689599897
fffe370039003800,3175577.7466199915
fffe3900360035003200,2991965.0354199875
fffe3600370039003800,2986694.817759988
fffe310037003900,3125602.0975399856
fffe3700360039003200,3062667.3792399857
fffe3700350035003200,3000046.060539988
fffe3300350035003000,3145024.484219985
fffe3400340034003900,3063544.870219986
fffe3700340038003600,2975489.448079988
fffe3200320033003500,3203468.2698199903
fffe3600310035003800,3222169.3925799904
fffe36003300,2996056.5262799882
fffe3500310038003000,2972738.518579987
fffe3600360036003500,3485236.108839987
